"","age","production","language","n","prop_produced"
"355",26,487,"Spanish (European)",588,0.828231292517007
"356",23,121,"Spanish (European)",588,0.20578231292517
"357",27,500,"Spanish (European)",588,0.850340136054422
"358",27,249,"Spanish (European)",588,0.423469387755102
"359",27,157,"Spanish (European)",588,0.267006802721088
"360",27,226,"Spanish (European)",588,0.384353741496599
"361",27,568,"Spanish (European)",588,0.965986394557823
"362",27,530,"Spanish (European)",588,0.901360544217687
"363",27,330,"Spanish (European)",588,0.561224489795918
"364",27,556,"Spanish (European)",588,0.945578231292517
"365",28,539,"Spanish (European)",588,0.916666666666667
"366",28,572,"Spanish (European)",588,0.972789115646258
"367",28,555,"Spanish (European)",588,0.943877551020408
"368",28,394,"Spanish (European)",588,0.670068027210884
"369",28,336,"Spanish (European)",588,0.571428571428571
"370",28,546,"Spanish (European)",588,0.928571428571429
"371",27,335,"Spanish (European)",588,0.569727891156463
"372",28,219,"Spanish (European)",588,0.372448979591837
"373",28,309,"Spanish (European)",588,0.525510204081633
"374",28,269,"Spanish (European)",588,0.457482993197279
"375",28,588,"Spanish (European)",588,1
"376",28,531,"Spanish (European)",588,0.903061224489796
"377",28,213,"Spanish (European)",588,0.362244897959184
"378",28,118,"Spanish (European)",588,0.200680272108844
"379",28,506,"Spanish (European)",588,0.860544217687075
"380",28,499,"Spanish (European)",588,0.848639455782313
"381",28,499,"Spanish (European)",588,0.848639455782313
"382",21,132,"Spanish (European)",588,0.224489795918367
"383",23,157,"Spanish (European)",588,0.267006802721088
"384",22,336,"Spanish (European)",588,0.571428571428571
"385",18,168,"Spanish (European)",588,0.285714285714286
"386",16,14,"Spanish (European)",588,0.0238095238095238
"387",16,0,"Spanish (European)",588,0
"388",16,12,"Spanish (European)",588,0.0204081632653061
"389",16,36,"Spanish (European)",588,0.0612244897959184
"390",16,36,"Spanish (European)",588,0.0612244897959184
"391",16,137,"Spanish (European)",588,0.232993197278912
"392",16,24,"Spanish (European)",588,0.0408163265306122
